"","E6.5-Epi","E7.0-Epi","E6.5-PS","E7.0-PS","E7.0-aPS","E7.0-NasMes","E7.5-NeurEct"
"Sec23ip",12.2358340434239,13.9111807133589,16.9213660185915,13.841122820853,12.5953227051974,14.1030210357289,16.2812459642135
"Sec24a",5.13840799723836,5.71140468810819,5.31252188955779,4.74782701412981,4.56037546222663,4.86707519439558,5.23325763135433
"Sec24b",5.1705230472211,6.19722956821698,4.72224167960692,6.98091514365697,11.6180993918631,10.0407378026114,6.2799091576252
"Sec24c",8.638948445357,10.5933522638355,8.65744307927936,10.6423749596384,13.5725460185316,12.2251731260802,8.83839066628731
"Sec24d",1.86267289899891,1.55226973888418,2.36112083980346,0.824834354149671,0.760062577037771,0.651498254367913,0.988504219255818
"Sec31a",17.3742420406622,22.703426104596,20.0695271383294,23.517838048804,26.4936098281737,23.3772903037898,19.4212005430261
"Sec31b",0.0642300999654795,0.118493873197265,0.393520139967243,0.0603537332304637,0.108580368148253,0.0383234267275243,0.348883842090289
"Sec61a1",38.2811395794258,48.3455002644843,38.7617337867735,51.7835031117379,54.7245055467195,56.7186715567359,42.2149448929249
"Sec61a2",36.2257763805305,40.2760674997505,39.9422942066752,45.466479033616,46.7981386718971,54.1126785392643,39.6564633842628
"Sec61b",470.742402646999,434.682924436848,473.995008590545,436.015486767947,494.583576915293,463.176935428858,500.008693022399
"Sec61g",626.371934863356,517.510141801736,613.104378068965,531.595682293925,562.663467744247,560.556762743498,535.245961073518
"Sec62",84.1735460047609,117.925102605918,90.9031523324332,124.831638231676,132.250888404572,124.206226023906,104.374416092011
"Sec63",9.60239994483919,13.86378316408,9.83800349918108,14.6056034417722,15.5269926452002,18.7784790964869,12.7924075433106
"Secisbp2",21.838233988263,23.7343228014122,25.5788090978708,24.5639694247987,22.9104576792814,21.4611189674136,24.3055743322901
"Secisbp2l",2.28016854877452,2.36987746394531,1.18056041990173,2.63544635106358,3.36599141259584,3.41078497874966,2.50033420164707
"Sectm1a",0,0,0,0,0,0,0
"Sectm1b",0,0,0,0,0,0,0
"Seh1l",257.626930961538,249.038573298693,252.246409719003,251.654949659957,229.104576792814,238.448361098656,220.959766657183
"Sel1l",4.07861134780795,5.65215775150956,3.93520139967243,6.29690616704505,5.3204380392644,7.66468534550485,6.51249838568539
"Sel1l2",0,0,0,0,0,0,0
"Sel1l3",0.545955849706576,1.13754118269375,0.590280209950865,1.16683884245563,1.30296441777904,0.153293706910097,1.39553536836115
"Sele",0,0,0,0,0,0,0
"Selenbp1",0.0642300999654795,0.130343260516992,0,0.342004488305961,1.30296441777904,2.10778847001383,0.174441921045144
"Selenbp2",0,0,0,0,0,0,0
"Selenof",305.478355435821,377.035655126379,302.813747704794,393.02351079678,404.461871352243,423.205601352051,336.905496845189
"Selenoh",958.666357034765,902.98256069976,903.128721224824,878.549176724784,831.074137806729,813.874613412433,1050.83813237595
"Selenoi",11.9467985935792,12.394459136434,7.280122589394,12.1713362014769,11.6180993918631,11.9569091389876,13.7809117625664
"Selenok",204.348063040173,193.393850445257,211.517075232393,205.906819871265,262.981651655069,212.924958898125,158.974737379142
"Selenom",39.4051663288217,40.9396331896552,35.6135726670355,39.3707519773392,35.3972000163305,27.2479564032698,35.8768884282847
"Selenon",3.56477054808411,3.73255700571386,2.36112083980346,3.2188657722914,2.82308957185458,2.98922728474689,7.21026606986597
"Selenoo",1.83055784901617,3.03344315384999,1.57408055986897,2.97745083936954,3.90889325333711,3.44910840547718,3.08180727179755
"Selenop",19.1405697897129,18.0584662752632,13.3796847588863,15.1487870408464,21.7160736296506,7.70300877223238,15.9323621221232
"Selenos",105.369478993369,64.2355286602375,115.104640940419,72.2233007657883,77.6349632260009,82.088780050357,127.924075433106
"Selenot",65.8679675145993,74.1416164595289,77.7202276435306,82.7650861700426,94.1391791845354,106.50080287579,82.8599124964436
"Selenov",0.289035449844658,0.343632232272069,0.590280209950865,0.623655243381459,1.6287055222238,1.64790734928354,1.10479883328591
"Selenow",463.420171250935,394.193567965343,385.452977097915,359.426599298488,348.65156212404,354.146786389052,426.161613113288
"Sell",0,0,0,0,0,0,0
"Selp",0.0321150499827398,0.0118493873197265,0,0.0201179110768212,0,0,0
"Selplg",0.513840799723836,0.296234682993163,0.196760069983622,0.120707466460927,0.542901840741265,0.26826398709267,0.174441921045144
"Sem1",528.388917366017,462.706725448001,554.273117143862,486.209674904616,584.053800269453,534.611802848964,516.231791679597
"Sema3a",0,0,0.196760069983622,0,0,0.0383234267275243,0.116294614030096
"Sema3b",1.47729229920603,1.19678811929238,0.787040279934487,0.925423909533778,1.6287055222238,0.26826398709267,1.74441921045144
"Sema3c",0.449610699758357,0.959800372897849,0.196760069983622,0.281650755075497,0,0.0383234267275243,0.348883842090289
"Sema3d",0,0.0947950985578122,0,0.0201179110768212,0,0.0383234267275243,0
"Sema3e",3.40419529817042,3.74440639303358,3.14816111973795,3.84252101567286,1.73728589037205,0.498204547457816,0.581473070150481
"Sema3f",1.22037189934411,2.04994400631269,0.787040279934487,1.73014035260663,5.86333988000566,1.30299650873583,0.988504219255818
"Sema3g",0.0321150499827398,0.0118493873197265,0,0,0,0.0383234267275243,0
"Sema4a",4.23918659772165,5.91284427254354,4.13196146965606,4.52652999228478,0.977223313334277,1.2646730820083,5.40769955239947
"Sema4b",2.08747824887808,2.38172685126503,2.36112083980346,1.71002244152981,1.6287055222238,0.613174827640388,2.44218689463202
"Sema4c",5.23475314718658,7.07408422987674,2.95140104975433,5.17030314674306,5.10327730296789,4.98204547457815,5.58214147344462
"Sema4d",7.90030229575398,8.19977602525076,5.11576181957416,5.15018523566624,2.49734846740982,1.30299650873583,4.41919533314366
"Sema4f",0.0642300999654795,0.0592469365986327,0,0.100589555384106,0.108580368148253,0.0766468534550485,0.407031149105337
"Sema4g",0.513840799723836,0.592469365986327,0.196760069983622,0.48282986584371,0.325741104444759,0.766468534550485,0.755914991195626
"Sema5a",1.05979664943041,1.35083015444882,0.983800349918108,1.24731048676292,0.868642945186024,1.14970280182573,1.97700843851164
"Sema5b",0.674416049637535,0.983499147537302,0.393520139967243,1.00589555384106,0.977223313334277,0.80479196127801,0.697767684180577
"Sema6a",41.7816800275444,40.9514825769749,30.8913309874286,34.0797413641352,10.4237153422323,7.12815737131951,19.2467586219809
"Sema6b",0.642300999654795,0.829457112380857,1.18056041990173,0.945541820610599,0.434321472593012,0.881438814733058,1.39553536836115
"Sema6c",0.867106349533974,1.55226973888418,1.37732048988535,2.09226275198941,1.41154478592729,1.68623077601107,1.74441921045144
"Sema6d",0.128460199930959,0.213288971755078,0.196760069983622,0.442594043690067,8.36068834741548,4.06228323311757,0.523325763135433
"Sema7a",0,0.165891422476171,0.196760069983622,0.281650755075497,0.868642945186024,0.191617133637621,0
"Senp1",17.0209764908521,17.0512683530865,15.9375656686734,16.094328861457,12.8124834414939,15.4443409711923,15.9905094291382
"Senp2",23.6366767872965,25.1207011178202,20.4630472782967,25.0065634684888,32.2483693400311,24.9485507996183,22.2122712797484
"Senp3",48.622185673868,65.4797143288088,50.1738178458235,63.3110661587565,59.6106221133909,65.3414425704289,51.4603667083176
"Senp5",2.02324814891261,2.18028726682968,2.16436076981984,2.49462097352583,3.58315214889235,3.48743183220471,3.19810188582765
"Senp6",52.7329120716587,60.1711888095713,51.7478984056925,57.8993480790916,60.9135865311699,60.5510142294883,49.4252109627909
"Senp7",2.60131904860192,2.68981092157792,2.95140104975433,2.99756875044637,3.04025030815108,3.02755071147442,3.37254380687279
"Senp8",17.2136667907485,17.0631177404062,13.1829246889027,14.74642881931,12.9210638096421,12.570083966628,18.5489909378003
"Sephs1",48.7185308238162,60.5029716545237,48.7964973559382,59.2673660323154,51.3585141341237,58.404902332747,53.2629332257841
"Sephs2",96.6663004480467,109.298748637158,96.6091943619582,101.696040493331,112.815002506035,115.0086036093,98.9667165396119
"Sepsecs",3.05092974836028,4.17098433654374,2.95140104975433,3.98334639321061,3.90889325333711,4.75210491421301,4.4773426401587
"Sept1",6.06974444673782,5.05968838552323,5.50928195954141,5.23065687997352,5.3204380392644,4.59881120730291,6.2799091576252
"Sept10",4.56033709754905,5.21373042067967,3.93520139967243,5.75372256797088,7.05772392963645,8.23953674641772,6.047319929565
"Sept11",22.3841898379696,27.774963877439,21.0533274882475,23.2764231158822,25.4078061466912,16.7856609066556,32.8532284635022
"Sept12",0,0,0,0,0,0,0
"Sept14",0,0,0,0,0,0,0
"Sept2",0.481725749741096,0.54507181670742,0.196760069983622,0.48282986584371,0.217160736296506,0.53652797418534,0.407031149105337
"Sept3",2.56920399861918,2.84385295673437,1.57408055986897,1.91120155229802,1.41154478592729,0.728145107822961,3.60513303493298
"Sept4",1.02768159944767,1.42192647836718,0.590280209950865,1.08636719814835,0.217160736296506,0.153293706910097,3.89586957000822
"Sept5",0,0.0236987746394531,0.196760069983622,0,0,0.0766468534550485,0.174441921045144
"Sept6",16.4750206411455,22.1702036752083,20.266287208313,23.3568947601895,24.7563239378017,22.9174091830595,32.9113757705172
"Sept7",208.619364687878,214.651651296846,231.783362440706,234.594961066813,256.68399030247,275.928672438175,234.624383805719
"Sept8",3.05092974836028,3.35337661148261,2.16436076981984,2.97745083936954,3.90889325333711,13.4898462080885,3.72142764896308
"Sept9",15.2867637917841,19.8951213098208,19.6760069983622,22.8137111611153,19.6530466348338,15.1760769840996,22.7937443498989
"Serac1",0.385380599792877,0.663565689904686,0.393520139967243,0.281650755075497,0.434321472593012,0.114970280182573,0.407031149105337
"Serbp1",1478.60901625532,1778.03611548693,1536.89290664207,1831.81627518888,1722.95328177648,1828.79392343746,1650.39501500811
"Serf1",26.2379958358984,29.2442879050851,22.0371278381656,28.2857829740107,25.299225778543,31.6168270502075,28.5503277443886
"Serf2",1389.65032780313,1119.07983724961,1254.34544614559,1091.59785502832,1059.4186520225,1038.29660032881,980.014712431621
"Sergef",8.99221399516713,9.31361843330505,7.67364272936125,8.73117340734042,7.60062577037771,9.19762241460582,9.24542181539265
"Serhl",4.01438124784247,4.90564635036678,5.31252188955779,5.85431212335498,5.64617914370916,5.51857344876349,5.17511032433928
"Serinc1",30.8946780833957,36.1998782617646,35.0232924570847,40.1352325982584,51.4670945022719,46.1797292066667,30.7017781039454
"Serinc2",1.60575249913699,2.48837133714257,1.96760069983622,2.85674337290862,2.06302699481681,1.22634965528078,3.31439649985774
"Serinc3",8.4783731954433,13.1528199248965,10.0347635691647,16.3558617054557,25.9507079874325,23.7988479977926,14.1297956046567
"Serinc4",0.128460199930959,0.130343260516992,0,0.181061199691391,0.434321472593012,0.26826398709267,0
"Serinc5",0.128460199930959,0.0947950985578122,0.590280209950865,0.523065687997353,1.19438404963078,0.53652797418534,0.465178456120385
"Serp1",191.855308596887,176.283335155572,199.90823110336,180.316836981549,220.200986604657,203.612366203336,172.639354527678
"Serp2",4.52822204756631,6.83709648348221,4.13196146965606,7.06138678796426,4.01747362148536,3.41078497874966,9.36171642942275
"Serpina10",0,0,0,0,0,0,0
"Serpina11",0,0,0,0,0,0,0
"Serpina12",0,0,0,0,0,0,0
"Serpina16",0,0,0,0,0,0,0
"Serpina1a",0,0,0,0,0,0,0
"Serpina1b",0,0.0118493873197265,0,0.0201179110768212,0,0,0
"Serpina1c",0,0,0,0,0,0,0
"Serpina1d",0,0,0,0,0,0,0
"Serpina1e",0,0,0,0,0,0,0
"Serpina1f",0,0,0,0,0,0,0
"Serpina3a",0,0,0,0,0,0,0
"Serpina3b",0,0,0,0,0,0,0
"Serpina3f",0,0,0,0,0,0,0
"Serpina3g",0,0,0,0,0,0,0
"Serpina3i",0.0321150499827398,0,0,0,0,0,0
"Serpina3k",0,0,0,0,0,0,0
"Serpina3m",2.31228359875726,0.88870404897949,0.196760069983622,0.442594043690067,0.217160736296506,0,0.290736535075241
"Serpina5",0,0.0118493873197265,0,0,0,0,0
"Serpina6",0,0,0.196760069983622,0.0201179110768212,0,0,0
"Serpina7",0,0,0,0,0,0,0
"Serpina9",0.0321150499827398,0.201439584435351,0,0.080471644307285,0,0.114970280182573,0
"Serpinb11",0,0,0,0,0,0,0
"Serpinb12",0,0.0118493873197265,0,0.0201179110768212,0,0.0383234267275243,0
"Serpinb1a",0,0.0592469365986327,0,0,0.108580368148253,0.0383234267275243,0
"Serpinb1b",0.0321150499827398,0,0,0.0201179110768212,0,0,0
"Serpinb1c",0,0,0,0,0,0,0
"Serpinb2",0,0,0,0,0,0,0
"Serpinb3a",0,0,0,0,0,0,0
"Serpinb5",0.192690299896439,0.118493873197265,0,0.080471644307285,0,0.0383234267275243,0.0581473070150481
"Serpinb6a",21.5813135884011,31.9814963759419,19.4792469283785,30.7804039475365,32.5741104444759,25.4084319203486,36.5746561124653
"Serpinb6b",0.128460199930959,0.106644485877539,0,0.140825377537749,0.108580368148253,0.306587413820194,0.0581473070150481
"Serpinb6c",0.128460199930959,0.106644485877539,0,0.0201179110768212,0.434321472593012,0.0383234267275243,0.116294614030096
"Serpinb6d",0,0,0,0,0,0,0
"Serpinb6e",0,0,0,0,0,0,0
"Serpinb7",0,0,0,0,0,0,0
"Serpinb8",0,0,0,0,0,0,0
"Serpinb9",0.160575249913699,0.154042035156445,0.590280209950865,0.382240310459604,0.217160736296506,0.153293706910097,0.0581473070150481
"Serpinb9b",0.192690299896439,0.260686521033984,0.196760069983622,0.16094328861457,0.217160736296506,0.114970280182573,0
"Serpinb9c",0,0,0,0,0,0,0
"Serpinb9d",0,0,0,0,0,0,0
"Serpinb9e",0,0,0,0,0,0,0
"Serpinb9f",0,0,0,0,0,0.0383234267275243,0
"Serpinb9g",0,0,0,0,0,0,0
"Serpinc1",0,0.106644485877539,0,0.100589555384106,0.217160736296506,0.153293706910097,0.116294614030096
"Serpind1",0,0,0,0,0,0,0
"Serpine1",0.192690299896439,0.438427330829882,0.196760069983622,0.342004488305961,0.108580368148253,0.191617133637621,0.174441921045144
"Serpine2",52.4759916717968,58.8085092678028,53.3219789655615,61.6010437172267,77.8521239622974,59.7845456949379,66.9275503743204
"Serpine3",0.0321150499827398,0.0118493873197265,0,0,0,0,0.174441921045144
"Serpinf1",0.931336449499453,0.983499147537302,0.393520139967243,0.764480620919207,0.108580368148253,0.574851400912864,0.581473070150481
"Serpinf2",0.0321150499827398,0.177740809795898,0.196760069983622,0.0402358221536425,0,0.114970280182573,0.0581473070150481
"Serping1",0.770761199585754,1.03089669681621,0.196760069983622,0.96565973168742,0.977223313334277,0.613174827640388,2.73292342970726
"Serpinh1",100.327416146079,154.70560084635,131.829246889027,199.288027126991,323.678077449942,277.346639227093,130.366262327738
"Serpini1",3.11515984832576,4.98859206160487,3.14816111973795,3.52063443844372,1.19438404963078,0.651498254367913,3.89586957000822
"Serpini2",0,0,0,0,0,0,0
"Sertad1",6.58358524646165,7.61915604658416,8.85420314926298,6.21643452273777,5.10327730296789,4.67545806075796,9.88504219255818
"Sertad2",4.68879729748001,5.77065162470682,3.73844132968881,6.27678825596823,10.6408760785288,7.70300877223238,7.6172972189713
"Sertad3",14.6765778421121,12.3115134251959,11.8056041990173,11.4873272248649,8.68642945186024,6.82156995749932,11.9783452450999
"Sertad4",2.08747824887808,1.83665503455761,0.787040279934487,1.81061199691391,3.36599141259584,0.421557694002767,0.523325763135433
"Sertm1",0.610185949672056,0.734662013823045,0.393520139967243,0.402358221536425,1.30296441777904,0.114970280182573,1.27924075433106
"Sesn1",3.08304479834302,5.0478389982035,2.16436076981984,4.28511505936293,3.04025030815108,5.90180771603874,2.32589228060192
"Sesn2",4.88148759737644,4.18283372386347,5.90280209950865,4.62711954766889,3.58315214889235,4.33054722021024,6.91952953479073
"Sesn3",25.7241550361746,27.2061932860921,23.6112083980346,21.1841603638928,9.88081350149103,10.309001789704,25.9918462357265
"Sestd1",5.26686819716932,6.42236792729178,7.08336251941038,6.1560807895073,5.64617914370916,4.98204547457815,7.50100260494121
"Set",2791.02264884996,2487.17454902328,2592.11716196423,2322.02941439779,2114.49408931908,2247.17077302184,3012.8445656777
"Setbp1",1.83055784901617,2.16843787950996,1.96760069983622,1.73014035260663,1.08580368148253,2.18443532346888,2.90736535075241
"Setd1a",6.64781534642713,8.8870404897949,8.46068300929573,7.68504203134572,6.08050061630217,7.70300877223238,7.09397145583587
